name,unit_info,price,usual_price,discount,description,url,image,categories,store
Multy Bad puff met koord,Per stuk,99,99,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/bad-douche-zeep/multy-bad-puff-met-koord/329
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1537_1_114871_637171821225293489.png?width=500&height=500&mode=crop,Kind drogisterij/Bad douche zeep/Multy bad puff met koord,Dirk
Lu Time out chocolade,6 x 2 stuks,1.89,1.89,null,GRANENBISCUITS BEDEKT MET MELKCHOCOLADE (22 %).,"https://www.dirk.nl/boodschappen/brood-beleg-koek/koekjes/lu-time-out-chocolade/331
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/117601_1_114992_637898454629843879.png?width=500&height=500&mode=crop,Brood beleg koek/Koekjes/Lu time out chocolade,Dirk
Studioline Haargel paste remix,150 ml,4.99,4.99,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/haarverzorging/studioline-haargel-paste-remix/333
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/344_1_115082_637847298045320865.png?width=500&height=500&mode=crop,Kind drogisterij/Haarverzorging/Studioline haargel paste remix,Dirk
Apetina Classic 45+ kaasblokjes in olie,265 g,2.99,2.99,null,Verse kaasblokjes in olie met kruiden.,"https://www.dirk.nl/boodschappen/zuivel-kaas/overige-kazen/apetina-classic-45-kaasblokjes-in-olie/337
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/86942_1_115155_638034138089436210.png?width=500&height=500&mode=crop,Zuivel kaas/Overige kazen/Apetina classic 45 kaasblokjes in olie,Dirk
Pickwick Spices Minty Morocco kruidenthee,20 zakjes,1.89,1.89,null,"Gearomatiseerde kruidenmelange met kaneel, zoethout en kruizemunt.","https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/thee/pickwick-spices-minty-morocco-kruidenthee/339
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/56643_1_115206_638067087663391855.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Thee/Pickwick spices minty morocco kruidenthee,Dirk
Wonderwel Verzachtende douchegel,300 ml,89,89,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/bad-douche-zeep/wonderwel-verzachtende-douchegel/340
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/95682_1_115246_638102664040422381.png?width=500&height=500&mode=crop,Kind drogisterij/Bad douche zeep/Wonderwel verzachtende douchegel,Dirk
Martini Vermouth bianco,750 ml,7.29,7.29,null,Bianco vermouth,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/aperitieven-mixen/martini-vermouth-bianco/356
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/6869_1_116204_637988517621012610.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Aperitieven mixen/Martini vermouth bianco,Dirk
De Tukker Boeren metworst,240 g,2.69,2.69,null,"Westfaalse metworst, gedroogd, gerookt","https://www.dirk.nl/boodschappen/vlees-vis/vleesconserven/de-tukker-boeren-metworst/359
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1634_1_116286_637170237317752518.png?width=500&height=500&mode=crop,Vlees vis/Vleesconserven/De tukker boeren metworst,Dirk
Pedigree Dentastix maxi 7 stuks,270 g,2.79,2.79,null,Aanvullend diervoeder voor honden vanaf 4 maanden.,"https://www.dirk.nl/boodschappen/huishoud-huisdieren/huisdieren/pedigree-dentastix-maxi-7-stuks/364
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/53865_1_116367_638052399659636390.png?width=500&height=500&mode=crop,Huishoud huisdieren/Huisdieren/Pedigree dentastix maxi 7 stuks,Dirk
Tena Lady ultra mini,24 stuks,3.49,3.49,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/dameshygi%C3%ABne/tena-lady-ultra-mini/371
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/60226_1_116674_637807059635850847.png?width=500&height=500&mode=crop,Kind drogisterij/Dameshygiëne/Tena lady ultra mini,Dirk
