name,price,usual_price,discount,description,url,image,categories,store
Paturain Knoflook fijne kruiden 60+,2.19,2.19,null,"Paturain: hét Franse merk van kaasspecialiteiten met de beste ingrediënten. Paturain Knoflook & fijne kruiden is fris van smaak. Lekker smeuïg, goed smeerbaar, bereidt zonder conserveringsmiddelen en verpakt in een handig hersluitbaar kuipje. Smaak: Romig Herkomst: Frankrijk Gemaakt van: Koemelk Vega","https://www.ah.nl/producten/product/wi1969/paturain-knoflook-fijne-kruiden-60
",https://static.ah.nl/dam/product/AHI_43545239383233393732?revLabel=12&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Kaas beleg/Roomkaas/Roomkaas (kruiden),Albert Heijn
AH Kruidenboter,1.25,1.25,null,Wat is Nutri-Score? Zachte kruidenboter met frisse tuinkruiden Smaak: Fris & romig Heerlijk op een toastje of warm stokbroodje. PrijsfavorietVega,"https://www.ah.nl/producten/product/wi1981/ah-kruidenboter
",https://static.ah.nl/dam/product/AHI_434d50313438333234?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Zuivel, plantaardig en eieren/Boter/Boter voor op brood/Kruidenboter",Albert Heijn
Boursin Knoflook & fijne kruiden,2.19,2.19,null,"Het unieke verse kruidenkaasje van Boursin, uit Frankrijk. Boursin Knoflook & Fijne kruiden is er in de varianten 80 en 150 gram. Smaak: Intense smaak Herkomst: Frankrijk Gemaakt van: Gepasteuriseerde melk en room Vega","https://www.ah.nl/producten/product/wi1982/boursin-knoflook-en-fijne-kruiden
",https://static.ah.nl/dam/product/AHI_43545239393337323536?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Kaas beleg/Roomkaas/Roomkaas (kruiden),Albert Heijn
Boursin Knoflook & fijne kruiden,3.29,3.29,null,Boursin knoflook & kruiden 150gram. Smaak: intense smaak Herkomst: frankrijk Gemaakt van: gepasteuriseerde melk en room Vega,"https://www.ah.nl/producten/product/wi1983/boursin-knoflook-en-fijne-kruiden
",https://static.ah.nl/dam/product/AHI_43545239393337303933?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,Home/Producten/Ontbijtgranen en beleg/Kaas beleg/Roomkaas/Roomkaas (kruiden),Albert Heijn
Président Le brie,3.09,3.09,null,"Heerlijk romig, zacht in de mond en vol van smaak. Deze vers gesneden Président brie is veruit dé meest betrouwbare keuze voor op het kaasplankje, bij de borrel en ontspannende momenten bij de tv. Romige, zachte textuur en volle smaak Vers gesneden Ideaal voor op het kaasplankje Eetbare korst","https://www.ah.nl/producten/product/wi2002/president-le-brie
",https://static.ah.nl/dam/product/AHI_43545239393030333232?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Kaas, vleeswaren, tapas/Kaas/Kaas voor borrel/Witte korst kaas, brie",Albert Heijn
De Huisman Zaanse mosterd grof gemalen,1.29,1.29,null,"Al meer dan 50 jaar maken wij deze mosterd met trots volgens eigen recept Herkenbaar aan zijn stevige structuur, pittige smaak en authentiek uiterlijk Vegan","https://www.ah.nl/producten/product/wi2008/de-huisman-zaanse-mosterd-grof-gemalen
",https://static.ah.nl/dam/product/AHI_43545239353838303137?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Sauzen/Snacksauzen, mayonaise/Mosterd/Mosterd (grof)",Albert Heijn
Calvé Mayonaise,2.69,2.69,null,"Is de heerlijke, vertrouwde Calvé Mayonaise zoals je die gewend bent Gemaakt van goede en pure ingrediënten: vrije-uitloopeieren, plantaardige olie en azijn De enige échte mayonaise, met de beste kwaliteit Geschikt voor vegetariërs Vega","https://www.ah.nl/producten/product/wi2037/calve-mayonaise
",https://static.ah.nl/dam/product/AHI_43545239393235383734?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Sauzen/Snacksauzen, mayonaise/Mayonaise/Mayonaise (in pot)",Albert Heijn
Grand' Italia Sugocasa erbe pastasaus,2.99,2.99,null,"100% natuurlijke ingrediënten Gemaakt van 1,5 kg verse zongerijpte tomaten Glutenvrij Zonder conserveermiddel Vegan","https://www.ah.nl/producten/product/wi2054/grand-italia-sugocasa-erbe-pastasaus
",https://static.ah.nl/dam/product/AHI_43545239353537323734?revLabel=7&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Sauzen/Pasta sauzen/Pastasaus in pot",Albert Heijn
Grand' Italia Sugocasa tradizionale pastasaus,2.99,2.99,null,"100% natuurlijke ingrediënten Gemaakt van 1,5 kg verse zongerijpte tomaten Glutenvrij Zonder conserveermiddel Vegan","https://www.ah.nl/producten/product/wi2063/grand-italia-sugocasa-tradizionale-pastasaus
",https://static.ah.nl/dam/product/AHI_43545239353537323737?revLabel=11&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Sauzen/Pasta sauzen/Pastasaus in pot",Albert Heijn
Grand' Italia Farfalle tradizionali,1.95,1.95,null,Prodotto italiano - gemaakt in zuid-italie Gemaakt van 100% durum tarwe Heerlijke smaak en 'al dente' bite Strikvormige pasta Vegan,"https://www.ah.nl/producten/product/wi2064/grand-italia-farfalle-tradizionali
",https://static.ah.nl/dam/product/AHI_43545239353536333031?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Pasta, rijst, noedels/Pasta/Farfalle, schelpjes, orecchiette/Farfalle",Albert Heijn
